iso_code,continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,new_vaccinations,is_country,new_cases_7day_avg,new_deaths_7day_avg,new_vaccinations_7day_avg,cases_14day_total,deaths_14day_total,case_growth_rate,death_growth_rate,vaccination_growth_rate,cases_per_million,deaths_per_million,vaccinations_per_hundred,vaccinated_share,fully_vaccinated_share,booster_share,death_rate,estimated_active_cases,estimated_recoveries,recovery_rate_proxy
BHS,North America,Bahamas,2024-08-04,409989.0,39127.0,0.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95434.26774864692,2070.787265024184,0.0,0.0,0.0,0.0,2.1698571319038003,0.0,38278.0,97.8301428680962
BHR,Asia,Bahrain,2024-08-04,1472237.0,696614.0,0.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473167.02405930567,1043.3102822439594,0.0,0.0,0.0,0.0,0.22049513790994724,0.0,695078.0,99.77950486209005
BGD,Asia,Bangladesh,2024-08-04,171186368.0,2051348.0,40.0,29499.0,0.0,0.0,0.0,0.0,0.0,0.0,True,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,11983.127067688007,172.32096424874206,0.0,0.0,0.0,0.0,1.4380300173349427,40.0,2021809.0,98.56002004535554
BRB,North America,Barbados,2024-08-04,281646.0,108582.0,57.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,True,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,385526.5120044311,2105.479928704828,0.0,0.0,0.0,0.0,0.546131034609788,57.0,107932.0,99.40137407673464
BLR,Europe,Belarus,2024-08-04,9534956.0,994037.0,0.0,7118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104251.87069557532,746.5162922618625,0.0,0.0,0.0,0.0,0.7160699249625517,0.0,986919.0,99.28393007503745
BEL,Europe,Belgium,2024-08-04,11655923.0,4872829.0,1277.0,34339.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1277.0,0.0,0.0,1277.0,0.0,0.0,0.0,0.0,418056.0389769218,2946.0558378774467,0.0,0.0,0.0,0.0,0.7047035715802874,1277.0,4837213.0,99.26908988597793
BLZ,North America,Belize,2024-08-04,405285.0,71414.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176206.86677276483,1697.5708452076933,0.0,0.0,0.0,0.0,0.96339653289271,0.0,70726.0,99.03660346710728
BEN,Africa,Benin,2024-08-04,13352864.0,28036.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.6244700762322,12.207119012071118,0.0,0.0,0.0,0.0,0.5813953488372093,0.0,27873.0,99.4186046511628
BMU,North America,Bermuda,2024-08-04,64207.0,18860.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293737.4429579329,2569.813260236423,0.0,0.0,0.0,0.0,0.8748674443266171,0.0,18695.0,99.12513255567337
BTN,Asia,Bhutan,2024-08-04,782457.0,62697.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80128.36488139284,26.83853553613809,0.0,0.0,0.0,0.0,0.03349442557060146,0.0,62676.0,99.9665055744294
BOL,South America,Bolivia,2024-08-04,12224114.0,1212147.0,2.0,22387.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,99160.31542245108,1831.3801720108304,0.0,0.0,0.0,0.0,1.8468882074533863,2.0,1189758.0,98.15294679605692
BES,North America,Bonaire Sint Eustatius and Saba,2024-08-04,27052.0,11922.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440706.7869288777,1515.599585982552,0.0,0.0,0.0,0.0,0.3439020298607616,0.0,11881.0,99.65609797013923
BIH,Europe,Bosnia and Herzegovina,2024-08-04,3233530.0,403666.0,0.0,16392.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124837.56142667611,5069.3823777728985,0.0,0.0,0.0,0.0,4.060782924496984,0.0,387274.0,95.93921707550301
BWA,Africa,Botswana,2024-08-04,2630300.0,330696.0,0.0,2801.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125725.58263315972,1064.8975402045396,0.0,0.0,0.0,0.0,0.847001475675545,0.0,327895.0,99.15299852432446
BRA,South America,Brazil,2024-08-04,215313504.0,37511921.0,0.0,702116.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174220.01083592046,3260.9009047570003,0.0,0.0,0.0,0.0,1.8717143278266128,0.0,36809805.0,98.12828567217339
VGB,North America,British Virgin Islands,2024-08-04,31332.0,7557.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241191.1145155113,2042.640112345206,0.0,0.0,0.0,0.0,0.8468969167659124,0.0,7493.0,99.15310308323409
BRN,Asia,Brunei,2024-08-04,449002.0,347723.0,288.0,179.0,1.0,0.0,0.0,0.0,0.0,0.0,True,288.0,1.0,0.0,288.0,1.0,0.0,0.0,0.0,774435.3031835047,398.66192132774466,0.0,0.0,0.0,0.0,0.051477756720147934,288.0,347256.0,99.8656976961547
BGR,Europe,Bulgaria,2024-08-04,6781955.0,1329988.0,257.0,38700.0,0.0,0.0,0.0,0.0,0.0,0.0,True,257.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,196106.87478757967,5706.319195571188,0.0,0.0,0.0,0.0,2.909800689931037,257.0,1291031.0,97.07087582745108
BFA,Africa,Burkina Faso,2024-08-04,22673764.0,22139.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.4148555131825,17.64153494761611,0.0,0.0,0.0,0.0,1.8067663399430869,0.0,21739.0,98.1932336600569
BDI,Africa,Burundi,2024-08-04,12889583.0,54569.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4233.573731593955,1.1637304325516193,0.0,0.0,0.0,0.0,0.02748813428869871,0.0,54554.0,99.9725118657113
KHM,Asia,Cambodia,2024-08-04,16767851.0,139319.0,6.0,3056.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8308.697399565395,182.2535278969261,0.0,0.0,0.0,0.0,2.193527085322174,6.0,136257.0,97.8021662515522
CMR,Africa,Cameroon,2024-08-04,27914542.0,125246.0,0.0,1974.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.765356924,70.7158297635691,0.0,0.0,0.0,0.0,1.576098238666305,0.0,123272.0,98.4239017613337
CAN,North America,Canada,2024-08-04,38454328.0,4819055.0,38.0,55282.0,0.0,0.0,0.0,34890285.0,102877159.0,0.0,True,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,125318.92378928061,1437.6015100302884,267.530767928125,0.0,0.0,90.73175066276025,1.1471543694770032,38.0,4763735.0,98.85205709418132
CPV,Africa,Cape Verde,2024-08-04,593162.0,64474.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108695.4322765113,703.0119933508889,0.0,0.0,0.0,0.0,0.6467723423395477,0.0,64057.0,99.35322765766045
CYM,North America,Cayman Islands,2024-08-04,68722.0,31472.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457961.0605046419,538.4010942638456,0.0,0.0,0.0,0.0,0.1175648195221149,0.0,31435.0,99.88243518047788
CAF,Africa,Central African Republic,2024-08-04,5579148.0,15441.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2767.6268849652315,20.253988601843865,0.0,0.0,0.0,0.0,0.7318178874425232,0.0,15328.0,99.26818211255748
TCD,Africa,Chad,2024-08-04,17723312.0,7702.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.56888870432346,10.946035368558652,0.0,0.0,0.0,0.0,2.5188262788886004,0.0,7508.0,97.4811737211114
CHL,South America,Chile,2024-08-04,19603736.0,5401126.0,100.0,62730.0,0.0,0.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,275515.13650255237,3199.9002639088794,0.0,0.0,0.0,0.0,1.161424488153026,100.0,5338296.0,98.83672404606003
