location,milestone_date,avg_cases_before,avg_cases_after,case_change_pct,avg_deaths_before,avg_deaths_after,death_change_pct
India,2024-08-12,,,,,,
United States,,,,,,,
China,,,,,,,
Brazil,,,,,,,
United Kingdom,,,,,,,
