,total_cases,new_cases_7day_avg,total_deaths,new_deaths_7day_avg,vaccinated_share,fully_vaccinated_share,booster_share,recovery_rate_proxy
total_cases,1342967955521861.2,-13397191895.75,4746676229226.25,6541773290.8,-308591341.293518,-285930418.32278943,-68311174.06933863,12183324.713551454
new_cases_7day_avg,-13397191895.75,2321384.5,-504299488.25,-176033.75,-15351.701855380945,-14224.373616823896,-3398.3221088048863,571.2395303813295
total_deaths,4746676229226.25,-504299488.25,180205826322.5,96869679.75,-417613.4149348669,-386946.6263344029,-92444.79304483281,-154680.6838298106
new_deaths_7day_avg,6541773290.8,-176033.75,96869679.75,75748.7,-2298.224079412401,-2129.4575851396335,-508.7452696534351,-11.637471708708167
vaccinated_share,-308591341.293518,-15351.701855380945,-417613.4149348669,-2298.224079412401,1051.2262872933313,974.0311274378865,232.70420225192407,-2.3500007052049865
fully_vaccinated_share,-285930418.32278943,-14224.373616823896,-386946.6263344029,-2129.4575851396335,974.0311274378865,902.5046735281913,215.6159327622756,-2.177432075318654
booster_share,-68311174.06933863,-3398.3221088048863,-92444.79304483281,-508.7452696534351,232.70420225192407,215.6159327622756,51.51245397899202,-0.5202067775571069
recovery_rate_proxy,12183324.713551454,571.2395303813295,-154680.6838298106,-11.637471708708167,-2.3500007052049865,-2.177432075318654,-0.5202067775571069,0.39271314124269585
